email,password
eka.wulandari105@dummy.com,password123
maman.gunawan106@dummy.com,password123
oscar.wulandari107@dummy.com,password123
zahra.setiawan108@dummy.com,password123
maman.santoso109@dummy.com,password123
gita.saputra110@dummy.com,password123
xena.saputra111@dummy.com,password123
putri.lestari112@dummy.com,password123
putri.mulyani113@dummy.com,password123
dina.hartono114@dummy.com,password123
joko.hartono115@dummy.com,password123
gita.hartono116@dummy.com,password123
andi.wulandari117@dummy.com,password123
farhan.utami118@dummy.com,password123
dewi.setiawan119@dummy.com,password123
dina.gunawan120@dummy.com,password123
agus.purnomo121@dummy.com,password123
zahra.nugroho122@dummy.com,password123
lina.wijaya123@dummy.com,password123
rudi.pratiwi124@dummy.com,password123
cahyo.santoso125@dummy.com,password123
teguh.wulandari126@dummy.com,password123
bella.pratiwi127@dummy.com,password123
indah.utami128@dummy.com,password123
rudi.kusuma129@dummy.com,password123
lina.lestari130@dummy.com,password123
bella.saputra131@dummy.com,password123
wawan.kusuma132@dummy.com,password123
umi.pratiwi133@dummy.com,password123
indah.mulyani134@dummy.com,password123
joko.purnomo135@dummy.com,password123
lina.gunawan136@dummy.com,password123
indah.gunawan137@dummy.com,password123
dewi.putri138@dummy.com,password123
wawan.wulandari139@dummy.com,password123
eka.mulyani140@dummy.com,password123
yudi.nugroho141@dummy.com,password123
bella.wijaya142@dummy.com,password123
xena.utami143@dummy.com,password123
budi.kusuma144@dummy.com,password123
cahyo.wulandari145@dummy.com,password123
joko.lestari146@dummy.com,password123
yudi.gunawan147@dummy.com,password123
maman.lestari148@dummy.com,password123
citra.setiawan149@dummy.com,password123
eka.gunawan150@dummy.com,password123
joko.pratiwi151@dummy.com,password123
yudi.hartono152@dummy.com,password123
nadia.hartono153@dummy.com,password123
dina.lestari154@dummy.com,password123
cahyo.lestari155@dummy.com,password123
sari.gunawan156@dummy.com,password123
yudi.gunawan157@dummy.com,password123
gita.utami158@dummy.com,password123
vina.purnomo159@dummy.com,password123
cahyo.setiawan160@dummy.com,password123
citra.putri161@dummy.com,password123
gita.pratiwi162@dummy.com,password123
kartika.gunawan163@dummy.com,password123
farhan.kusuma164@dummy.com,password123
bella.saputra165@dummy.com,password123
oscar.pratiwi166@dummy.com,password123
kartika.wulandari167@dummy.com,password123
indah.santoso168@dummy.com,password123
citra.mulyani169@dummy.com,password123
teguh.hartono170@dummy.com,password123
lina.lestari171@dummy.com,password123
xena.setiawan172@dummy.com,password123
maman.wulandari173@dummy.com,password123
oscar.setiawan174@dummy.com,password123
farhan.nugroho175@dummy.com,password123
zahra.santoso176@dummy.com,password123
dewi.putri177@dummy.com,password123
vina.pratiwi178@dummy.com,password123
bella.purnomo179@dummy.com,password123
vina.hidayat180@dummy.com,password123
sari.santoso181@dummy.com,password123
wawan.santoso182@dummy.com,password123
lina.putri183@dummy.com,password123
dewi.wulandari184@dummy.com,password123
sari.mulyani185@dummy.com,password123
xena.wulandari186@dummy.com,password123
sari.saputra187@dummy.com,password123
dina.setiawan188@dummy.com,password123
kartika.santoso189@dummy.com,password123
maman.purnomo190@dummy.com,password123
gita.gunawan191@dummy.com,password123
maman.kusuma192@dummy.com,password123
qori.wulandari193@dummy.com,password123
budi.gunawan194@dummy.com,password123
budi.mulyani195@dummy.com,password123
nadia.putri196@dummy.com,password123
sari.hartono197@dummy.com,password123
kartika.pratiwi198@dummy.com,password123
yudi.hartono199@dummy.com,password123
lina.pratiwi200@dummy.com,password123
